CLUE,CLAVE JUR,NOMBRE DE LA UNIDAD INTERNA EN NÓMINA,ESTATUS DE OPERACIÓN,,,,NIVEL DE ATENCIÓN,,
CSSSA019143,1,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB SAN MIGUEL LA SARDINA FRANCISCO LEON,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002290,1,CENTRO DE SALUD RURAL 1 NB VICENTE GUERRERO FRANCISCO LEON,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019633,1,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB RIVERA EL VIEJO CARMEN FRANCISCO LEON,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002874,1,CASA DE SALUD CARLOS A. VIDAL IXTAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002886,1,CASA DE SALUD CONCEPCION IXTAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002891,1,CASA DE SALUD EJIDO NUEVO SAN MIGUEL MITONTIC IXTAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002932,1,CENTRO DE SALUD RURAL 2 NB JIQUIPILAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002956,1,CENTRO DE SALUD RURAL 1 NB JOSE MARIA PINO SUAREZ JIQUIPILAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008672,1,CENTRO DE SALUD RURAL 1 NB PEDREGAL SAN ANGEL CHIAPA DE CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002985,1,CENTRO DE SALUD RURAL 1 NB ANDRES QUINTANA ROO JIQUIPILAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002990,1,CENTRO DE SALUD RURAL 1 NB TILTEPEC JIQUIPILAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA008696,1,CENTRO DE SALUD RURAL 1 NB EMILIANO ZAPATA JIQUIPILAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002903,1,CASA DE SALUD MAZANILHO IXTAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012694,1,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB CRISTOBAL COLON JIQUIPILAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA002961,1,CASA DE SALUD MICHOACAN JIQUIPILAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004291,1,CENTRO DE SALUD URBANO 2 NB OCOZOCOAUTLA DE ESPINOSA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004390,1,CASA DE SALUD NUEVO EMBARCADERO APIC - PAC OCOZOCOAUTLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006345,1,CENTRO DE SALUD RURAL 3 NB SUCHIAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006350,1,CENTRO DE SALUD RURAL 1 NB PACU SUCHIAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005843,1,CENTRO DE SALUD RURAL 3 NB SAN FERNANDO SAN FERNANDO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006695,1,CENTRO DE SALUD CON HOSPITALIZACION TECPATAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006765,1,CENTRO DE SALUD CON HOSPITALIZACION RAUDALES MALPASO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006782,1,UNIDAD MOVIL PIZTINGEN TECPATAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007260,1,CENTRO DE SALUD RURAL 1 NB TOTOLAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018431,1,CENTROS DE SALUD CON SERVICIOS AMPLIADOS SAN LUCAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007902,1,CENTRO DE SALUD RURAL 1 NB LAJA TENDIDA VENUSTIANO CARRANZA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007914,1,CENTRO DE SALUD RURAL 1 NB PARAISO DEL GRIJALVA VENUSTIANO CARRANZA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007890,1,CENTRO DE SALUD RURAL 1 NB SAN FRANCISCO PUJILTIC VENUSTIANO CARRANZA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007885,1,CASA DE SALUD MARIANO MATAMOROS VENUSTIANO CARRANZA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007861,1,CENTRO DE SALUD RURAL 1 NB GUADALUPE VICTORIA VENUSTIANO CARRANZA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001001,1,CENTRO DE SALUD RURAL 1 NB LIC. BUENAVISTA MATA SANOS COAPILLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017690,1,CENTRO DE SALUD URBANO 6 NB SOYALO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009104,1,CENTRO DE SALUD RURAL 1 NB UNION AGRARISTA JIQUIPILAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009150,1,CENTRO DE SALUD RURAL 1 NB VICENTE GUERRERO JIQUIPILAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003002,1,CASA DE SALUD HIERBA SANTA JIQUIPILAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003026,1,CENTRO DE SALUD RURAL 1 NB BENITO JUAREZ JIQUIPILAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA003031,1,CASA DE SALUD SANTA ROSA JIQUIPILAS,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019131,1,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB CERRO JAQUIMA OCOTEPEC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019155,1,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB SAN JOSE PLAN OCOTAL OCOTEPEC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004303,1,CASA DE SALUD EJIDO GRAL. FRANCISCO VILLA OCOZOCOAUTLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004320,1,CENTRO DE SALUD RURAL 1 NB HERMENEGILDO GALEANA OCOZOCOAUTLA DE ESPINOSA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004332,1,CASA DE SALUD JOSE CASTILLO TIELMAN OCOZOCOAUTLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009145,1,CENTRO DE SALUD R. 1 NB IGNACIO ZARAGOZA OCOZOCOAUTLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004344,1,CASA DE SALUD RAYMUNDO ENRIQUEZ OCOZOCOAUTLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004356,1,CASA DE SALUD ARMANDO ZEBADUA OCOZOCOAUTLA DE ESPINOSA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004361,1,CASA DE SALUD ALFREDO V. BONFIL OCOZOCOAUTLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004385,1,CASA DE SALUD LA INDEPENDENCIA (LAS PILAS) OCOZOCOAUTLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA009133,1,CASA DE SALUD AQUILES SERDAN OCOZOCOAUTLA DE ESPINOSA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004484,1,CASA DE SALUD TRIUNFO AGRARISTA OSUMACINTA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005855,1,CASA DE SALUD CUAUHTEMOC SAN FERNANDO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005872,1,CASA DE SALUD EL PROGRESO SAN FERNANDO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005884,1,CASA DE SALUD SAN ANTONIO SAN FERNANDO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005896,1,CASA DE SALUD EL CARMELO SAN FERNANDO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006700,1,CASA DE SALUD COL. ADOLFO LOPEZ MATEOS TECPATAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006724,1,CASA DE SALUD ESPERANZA DE LOS POBRES TECPATAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006741,1,CENTRO DE SALUD RURAL 1 NB GUSTAVO DIAZ ORDAZ TECPATAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006753,1,CASA DE SALUD MIGUEL HIDALGO Y COSTILLA TECPATAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006770,1,CASA DE SALUD ANGEL ALBINO CORZO TECPATAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006794,1,CASA DE SALUD COL. EL PORVENIR TECPATAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006806,1,CASA DE SALUD SAN FERNANDO DIAZ MARITANO TECPATAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006823,1,CASA DE SALUD EL EDEN TECPATAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA012712,1,CENTRO DE SALUD MICROREGIONAL RURAL 1 NB PONCIANO ARRIAGA TOTOLAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007844,1,CENTRO DE SALUD RURAL 3 NB VENUSTIANO CARRANZA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007926,1,CASA DE SALUD SAN ANTONIO LA SIDRA VENUSTIANO CARRANZA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007540,1,HOSPITAL REGIONAL DR. RAFAEL PASCASIO GAMBOA,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA019954,1,HOSPITAL CHIAPAS NOS UNE DR. JESUS GILBERTO GOMEZ MAZA,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA009162,1,UNIDAD DE ATENCION A LA SALUD MENTAL SAN AGUSTIN,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA000045,1,HOSPITAL BASICO COMUNITARIO DR. MANUEL VELASCO ACALA,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA000832,1,HOSPITAL BASICO COMUNITARIO DE CINTALAPA DE FIGUEROA,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA009203,1,HOSPITAL BASICO COMUNITARIO 12 CAMAS BERRIOZABAL,EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA009273,1,HOSPITAL BASICO COMUNITARIO DE CHIAPA DE CORZO,EN OPERACION,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
CSSSA000704,1,UNIDAD MOVIL TIERRA Y LIBERTAD BERRIOZABAL,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000931,1,UNIDAD MOVIL PIMIENTA BERLIN CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA000902,1,UNIDAD MOVIL ELOY BORRAS AGUILAR CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017941,1,UNIDAD MOVIL EL TEPEYAC CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA001684,1,UNIDAD MOVIL PASO ACHIOTE CHIAPA DE CORZO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004373,1,UNIDAD MOVIL LAZARO CARDENAS OCOZOCOAUTLA DE ESPINOSA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA004402,1,UNIDAD MOVIL EMBARCADERO APIC-PAC OCOZOCOAUTLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA005860,1,UNIDAD MOVIL MIGUEL HIDALGO SAN FERNANDO,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA006811,1,UNIDAD MOVIL DIQUE II (VICENTE GUERRERO) TECPATAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007552,1,UNIDAD MOVIL POTINASPAK  TUXTLA GUTIERREZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA007564,1,UNIDAD MOVIL LAS CASITAS  TUXTLA GUTIERREZ,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA020164,1,UNIDAD MOVIL SAN PEDRO EL PUY VENUSTIANO CARRANZA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA020176,1,UNIDAD MOVIL LA GLORIA (LA TRANCA)  VENUSTIANO CARRANZA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA017866,1,UNIDAD MOVIL CARAVANA TIPO 2 LA FLORIDA CINTALAPA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018286,1,UNIDAD MOVIL CARAVANA TIPO 0 RIO NEGRO FRANCISCO LEON,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018274,1,UNIDAD MOVIL CARAVANA TIPO 0 SANTO DOMINGO OCOTEPEC,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018373,1,UNIDAD MOVIL CARAVANA TIPO 0 ADOLFO RUIZ CORTINEZ  TECPATAN,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018455,1,CAPASITS TUXTLA,EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018735,1,TUXTLA   (U.N.E.M.E. CISAME),EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018711,1,TUXTLA   (U.N.E.M.E. CRONICO DEGENERATIVOS),EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA018636,1,TUXTLA (U.N.E.M.E. CAPA),EN OPERACIÓN,NULL,NULL,NULL,PRIMER NIVEL,NULL,NULL
CSSSA019534,1,TUXTLA (U.N.E.M.E. CIRUGIA AMBULATORIA Y TORRE DE DIAGNOSTICO),EN OPERACIÓN,NULL,NULL,NULL,SEGUNDO NIVEL,NULL,NULL
